Datetime,prec,WHC
10/05/2023 00:00,0,4.7
10/05/2023 01:00,0.3,
10/05/2023 02:00,0.6,
10/05/2023 03:00,0.6,
10/05/2023 04:00,1.5,
10/05/2023 05:00,1.9,
10/05/2023 06:00,2.6,
10/05/2023 07:00,2.4,
10/05/2023 08:00,2.1,
10/05/2023 09:00,2.4,
10/05/2023 10:00,2.9,
10/05/2023 11:00,1.9,
10/05/2023 12:00,0.7,
10/05/2023 13:00,0,
10/05/2023 14:00,0,
10/05/2023 15:00,0,
10/05/2023 16:00,0,
10/05/2023 17:00,0,
10/05/2023 18:00,0,
10/05/2023 19:00,0,
10/05/2023 20:00,0,
10/05/2023 21:00,0,
10/05/2023 22:00,0,
10/05/2023 23:00,0,
