DATE,PREC,IRRIGATION,WATER_CONTENT,SURFACE_WC,AVAILABLE_WATER,READILY_AW,FRACTION_AW,RUNOFF,DRAINAGE,LATERAL_DRAINAGE,CAPILLARY_RISE,ET0,TRANSP_MAX,TRANSP,EVAP_MAX,EVAP,LAI,ROOT_DEPTH,BALANCE,VWC_15,VWC_30,VWC_40,VWC_60,DEFICIT_25,DEFICIT_35,DEFICIT_50,DEFICIT_70,DEFICIT_90,DEFICIT_100
2005-01-01,0.0,0.0,323.6,0.0,127.7,-9999.0,0.7977,0.0,0.0581,0.000258,0.0,0.666,0.194,0.0,0.316,0.316,0.575,0.0412,2.16e-05,0.3123,0.3131,0.3128,0.3332,8.122,11.24,16.02,22.56,29.11,32.38
2005-01-02,0.0,0.0,323.1,0.0,127.2,-9999.0,0.7951,0.0,0.0581,0.000256,0.0,0.749,0.219,0.0,0.355,0.355,0.578,0.0443,1.76e-05,0.3111,0.3128,0.3126,0.3332,8.482,11.63,16.43,22.97,29.52,32.8
2005-01-03,0.0,0.0,322.5,0.0,126.6,-0.5448,0.7912,0.0,0.0581,0.000254,0.0,0.734,0.216,0.216,0.347,0.347,0.582,0.0484,3.41e-05,0.31,0.3124,0.3124,0.3332,9.037,12.22,17.05,23.6,30.14,33.42
2005-01-04,0.0,0.0,321.9,0.0,126.0,-0.1097,0.7873,0.0,0.0581,0.000252,0.0,0.741,0.222,0.222,0.348,0.348,0.592,0.0575,0.000167,0.3083,0.312,0.3122,0.3331,9.585,12.81,17.67,24.22,30.77,34.05
2005-01-05,0.0,0.0,321.3,0.0,125.4,0.1592,0.7834,0.0,0.0581,0.000249,0.0,0.729,0.221,0.221,0.34,0.34,0.603,0.0664,0.000228,0.3066,0.3114,0.312,0.3331,10.11,13.39,18.27,24.84,31.39,34.67
2005-01-06,0.1,0.0,320.7,0.0,124.8,0.3741,0.7798,0.0,0.0581,0.000247,0.0,0.793,0.242,0.242,0.369,0.369,0.609,0.0714,0.00038,0.3048,0.3108,0.3117,0.333,10.56,13.91,18.82,25.41,31.96,35.23
2005-01-07,0.1,0.0,320.3,0.0,124.4,0.6627,0.7771,0.0,0.0581,0.000245,0.0,0.63,0.194,0.194,0.292,0.292,0.615,0.0766,0.000366,0.3033,0.31,0.3114,0.3329,10.88,14.29,19.24,25.84,32.4,35.68
2005-01-08,0.1,0.0,319.8,0.0,123.9,1.643,0.7741,0.0,0.0581,0.000244,0.0,0.668,0.209,0.209,0.308,0.308,0.624,0.0835,0.000336,0.3019,0.3093,0.311,0.3328,11.21,14.69,19.69,26.31,32.88,36.15
2005-01-09,0.1,0.0,319.3,0.0,123.4,1.129,0.7707,0.0,0.0581,0.000242,0.0,0.751,0.237,0.237,0.344,0.344,0.632,0.0902,0.000347,0.3006,0.3086,0.3106,0.3327,11.6,15.15,20.19,26.84,33.41,36.69
2005-01-10,0.0,0.0,318.8,0.0,122.9,1.528,0.7678,0.0,0.0581,0.00024,0.0,0.531,0.17,0.17,0.242,0.242,0.644,0.099,0.000233,0.2994,0.3079,0.3102,0.3325,11.91,15.53,20.62,27.3,33.88,37.16
2005-01-11,0.0,0.0,318.2,0.0,122.3,1.703,0.7644,0.0,0.0581,0.000238,0.0,0.631,0.205,0.205,0.286,0.286,0.654,0.106,0.000244,0.2982,0.3072,0.3098,0.3324,12.3,15.98,21.13,27.83,34.42,37.7
2005-01-12,0.0,0.0,317.6,0.0,121.7,1.836,0.7607,0.0,0.0581,0.000237,0.0,0.697,0.228,0.228,0.314,0.314,0.662,0.112,0.000257,0.2968,0.3065,0.3094,0.3322,12.73,16.48,21.67,28.41,35.02,38.3
2005-01-13,0.1,0.0,317.2,0.0,121.3,1.99,0.758,0.0,0.0581,0.000235,0.0,0.615,0.203,0.203,0.276,0.276,0.669,0.117,0.000424,0.2954,0.3058,0.309,0.332,12.99,16.81,22.05,28.82,35.45,38.73
2005-01-14,0.1,0.0,316.8,0.0,120.9,1.953,0.7554,0.0,0.0581,0.000233,0.0,0.588,0.195,0.195,0.264,0.264,0.67,0.117,0.000425,0.2942,0.3051,0.3085,0.3318,13.22,17.11,22.41,29.21,35.85,39.14
2005-01-15,0.0,0.0,316.4,0.0,120.5,1.935,0.7529,0.0,0.0581,0.000231,0.0,0.45,0.149,0.149,0.202,0.202,0.67,0.117,0.000281,0.2933,0.3044,0.3081,0.3317,13.44,17.39,22.75,29.59,36.25,39.55
2005-01-16,0.0,0.0,316.1,0.0,120.2,1.931,0.751,0.0,0.058,0.00023,0.0,0.332,0.11,0.11,0.149,0.149,0.67,0.117,0.00025,0.2927,0.3038,0.3077,0.3315,13.57,17.58,22.99,29.87,36.55,39.86
2005-01-17,0.3,0.0,316.0,0.0,120.1,1.935,0.7504,0.0,0.058,0.000229,0.0,0.433,0.143,0.143,0.194,0.194,0.67,0.117,0.000141,0.292,0.3032,0.3073,0.3312,13.48,17.55,23.01,29.93,36.63,39.94
2005-01-18,3.6,0.0,319.1,0.0,123.2,3.209,0.7698,0.0,0.058,0.000233,0.0,0.575,0.19,0.19,0.258,0.258,0.67,0.117,0.000532,0.292,0.3026,0.3069,0.331,10.2,14.32,19.83,26.8,33.52,36.84
2005-01-19,16.4,0.0,335.1,0.0,139.2,8.859,0.87,0.0,0.0579,0.000613,0.0,0.482,0.16,0.111,0.216,0.216,0.67,0.117,-0.00291,0.3603,0.3023,0.3065,0.3308,-5.966,-1.828,3.734,10.74,17.49,20.81
2005-01-20,0.1,0.0,334.5,0.0,138.6,9.351,0.8662,0.0,0.0579,0.000663,0.0,0.833,0.278,0.278,0.372,0.372,0.678,0.123,3.93e-05,0.3618,0.3192,0.3068,0.3306,-3.918,-1.276,4.254,11.31,18.08,21.41
2005-01-21,0.0,0.0,333.8,0.0,137.9,7.683,0.8614,0.0,0.0578,0.000427,0.0,0.939,0.32,0.32,0.415,0.415,0.695,0.134,3.79e-05,0.353,0.3304,0.3119,0.3304,-1.686,-0.07867,4.972,12.05,18.85,22.18
2005-01-22,0.1,0.0,333.2,0.0,137.3,9.687,0.858,0.0,0.0577,0.000371,0.0,0.772,0.267,0.267,0.339,0.339,0.706,0.141,0.0,0.3468,0.3327,0.3175,0.3307,-0.2553,1.067,5.546,12.56,19.38,22.73
2005-01-23,0.0,0.0,332.7,0.0,136.8,9.181,0.8546,0.0,0.0576,0.000346,0.0,0.637,0.22,0.22,0.279,0.279,0.708,0.142,0.000302,0.3423,0.3327,0.3207,0.3314,0.8634,2.149,6.228,13.09,19.91,23.27
2005-01-24,0.0,0.0,332.3,0.0,136.4,8.842,0.8521,0.0,0.0576,0.000331,0.0,0.46,0.159,0.159,0.202,0.202,0.708,0.142,0.000576,0.3388,0.3319,0.3221,0.3325,1.668,3.006,6.845,13.5,20.31,23.67
2005-01-25,0.0,0.0,332.0,0.0,136.1,8.588,0.8501,0.0,0.0575,0.000323,0.0,0.354,0.123,0.123,0.155,0.155,0.708,0.142,0.000432,0.3361,0.3309,0.3227,0.3336,2.282,3.706,7.41,13.86,20.62,23.98
2005-01-26,0.0,0.0,331.6,0.0,135.7,8.308,0.8478,0.0,0.0573,0.000318,0.0,0.427,0.148,0.148,0.187,0.187,0.708,0.142,0.000335,0.3339,0.3298,0.3229,0.3346,2.886,4.403,8.038,14.3,21.0,24.36
2005-01-27,0.0,0.0,331.1,0.0,135.2,8.003,0.8448,0.0,0.0572,0.000313,0.0,0.54,0.187,0.187,0.237,0.237,0.708,0.142,0.000287,0.3316,0.3287,0.3228,0.3354,3.525,5.141,8.745,14.86,21.48,24.83
2005-01-28,0.0,0.0,330.7,0.0,134.8,7.816,0.8426,0.0,0.0571,0.000308,0.0,0.4,0.138,0.138,0.175,0.175,0.708,0.142,0.000235,0.3295,0.3276,0.3225,0.336,4.005,5.726,9.329,15.32,21.86,25.2
2005-01-29,0.4,0.0,330.8,0.0,134.9,7.803,0.8427,0.0,0.057,0.000307,0.0,0.394,0.136,0.136,0.172,0.172,0.708,0.142,0.000573,0.3281,0.3265,0.3221,0.3365,4.047,5.87,9.489,15.39,21.85,25.17
2005-01-30,0.0,0.0,330.2,0.0,134.3,7.516,0.8392,0.0,0.0569,0.000306,0.0,0.64,0.222,0.222,0.28,0.28,0.708,0.142,0.000191,0.3269,0.3256,0.3217,0.3369,4.667,6.577,10.23,16.06,22.44,25.74
2005-01-31,0.0,0.0,329.4,0.0,133.5,7.097,0.8343,0.0,0.0569,0.000302,0.0,0.89,0.308,0.308,0.39,0.39,0.708,0.142,0.000166,0.3246,0.3246,0.3213,0.3371,5.458,7.457,11.14,16.92,23.24,26.51
2005-02-01,0.0,0.0,328.7,0.0,132.8,5.96,0.8295,0.0,0.0568,0.000296,0.0,0.881,0.309,0.309,0.384,0.384,0.719,0.149,0.000228,0.3211,0.3235,0.3209,0.3373,6.203,8.307,12.03,17.77,24.04,27.29
2005-02-02,0.0,0.0,327.8,0.0,131.9,5.71,0.8241,0.0,0.0569,0.000292,0.0,0.983,0.345,0.345,0.427,0.427,0.721,0.15,0.000247,0.3182,0.3223,0.3203,0.3374,6.987,9.209,12.99,18.71,24.92,28.15
2005-02-03,0.0,0.0,326.8,0.0,130.9,5.656,0.818,0.0,0.0569,0.000288,0.0,1.12,0.398,0.398,0.486,0.486,0.729,0.155,0.000308,0.3143,0.321,0.3197,0.3375,7.845,10.19,14.04,19.75,25.91,29.12
2005-02-04,0.0,0.0,326.2,0.0,130.3,5.704,0.8143,0.0,0.057,0.000283,0.0,0.648,0.231,0.231,0.28,0.28,0.733,0.158,0.000317,0.3125,0.3195,0.319,0.3375,8.294,10.78,14.69,20.41,26.54,29.73
2005-02-05,0.0,0.0,325.7,0.0,129.8,5.568,0.8108,0.0,0.0572,0.000281,0.0,0.574,0.204,0.204,0.248,0.248,0.733,0.158,0.00029,0.311,0.3182,0.3183,0.3374,8.671,11.28,15.28,21.0,27.1,30.28
2005-02-06,0.0,0.0,325.0,0.0,129.1,5.372,0.8069,0.0,0.0574,0.000278,0.0,0.67,0.238,0.238,0.289,0.289,0.733,0.158,0.000288,0.3092,0.317,0.3176,0.3373,9.114,11.84,15.92,21.67,27.75,30.91
2005-02-07,0.0,0.0,324.4,0.0,128.5,5.204,0.8031,0.0,0.0576,0.000276,0.0,0.635,0.226,0.226,0.274,0.274,0.733,0.158,0.000255,0.3076,0.3159,0.3169,0.3371,9.52,12.35,16.51,22.29,28.36,31.51
2005-02-08,0.0,0.0,323.8,0.0,127.9,5.028,0.7993,0.0,0.0578,0.000274,0.0,0.65,0.231,0.231,0.281,0.281,0.733,0.158,0.000289,0.306,0.3148,0.3162,0.3369,9.93,12.86,17.11,22.93,28.99,32.12
2005-02-09,0.0,0.0,323.0,0.0,127.1,4.741,0.7944,0.0,0.0581,0.000271,0.0,0.872,0.31,0.31,0.376,0.376,0.733,0.158,0.000289,0.3039,0.3138,0.3155,0.3367,10.51,13.54,17.86,23.72,29.78,32.91
2005-02-10,0.0,0.0,322.0,0.0,126.1,4.411,0.7881,0.0,0.0584,0.000269,0.0,1.15,0.411,0.411,0.497,0.497,0.736,0.159,0.00031,0.301,0.3128,0.3149,0.3364,11.29,14.42,18.83,24.73,30.8,33.92
2005-02-11,0.0,0.0,321.2,0.0,125.3,4.785,0.7827,0.0,0.0587,0.000266,0.0,0.962,0.352,0.352,0.409,0.409,0.758,0.172,0.00037,0.2987,0.3117,0.3143,0.3362,11.91,15.15,19.64,25.59,31.66,34.77
2005-02-12,0.0,0.0,320.2,0.0,124.3,5.763,0.7765,0.0,0.059,0.000263,0.0,1.14,0.426,0.426,0.478,0.478,0.78,0.185,0.000382,0.2959,0.3105,0.3136,0.3359,12.65,16.0,20.58,26.58,32.67,35.77
2005-02-13,0.0,0.0,318.9,0.0,123.0,6.126,0.7686,0.0,0.0592,0.00026,0.0,1.47,0.566,0.566,0.603,0.603,0.812,0.202,0.000372,0.2922,0.3093,0.3129,0.3356,13.65,17.11,21.77,27.83,33.93,37.04
2005-02-14,0.0,0.0,318.0,0.0,122.1,5.182,0.763,0.0,0.0595,0.000257,0.0,1.0,0.391,0.391,0.409,0.409,0.825,0.208,0.000385,0.29,0.308,0.3122,0.3354,14.24,17.84,22.58,28.7,34.82,37.93
2005-02-15,0.0,0.0,317.2,0.0,121.3,4.962,0.758,0.0,0.0598,0.000254,0.0,0.903,0.353,0.353,0.368,0.368,0.828,0.21,0.000387,0.2881,0.3067,0.3115,0.335,14.75,18.47,23.31,29.49,35.63,38.73
