Datai,Dataf,P30,Livello
2010-03-03 00:00:00+00:00,2010-03-03 00:30:00+00:00,0,0.2
2010-03-03 00:30:00+00:00,2010-03-03 01:00:00+00:00,0,0.2
2010-03-03 01:00:00+00:00,2010-03-03 01:30:00+00:00,0,0.19
2010-03-03 01:30:00+00:00,2010-03-03 02:00:00+00:00,0,0.2
2010-03-03 02:00:00+00:00,2010-03-03 02:30:00+00:00,0,0.2
2010-03-03 02:30:00+00:00,2010-03-03 03:00:00+00:00,0,0.19
2010-03-03 03:00:00+00:00,2010-03-03 03:30:00+00:00,0,0.19
2010-03-03 03:30:00+00:00,2010-03-03 04:00:00+00:00,0,0.19
2010-03-03 04:00:00+00:00,2010-03-03 04:30:00+00:00,0,0.2
2010-03-03 04:30:00+00:00,2010-03-03 05:00:00+00:00,0,0.2
2010-03-03 05:00:00+00:00,2010-03-03 05:30:00+00:00,0,0.19
2010-03-03 05:30:00+00:00,2010-03-03 06:00:00+00:00,0,0.2
2010-03-03 06:00:00+00:00,2010-03-03 06:30:00+00:00,0,0.2
2010-03-03 06:30:00+00:00,2010-03-03 07:00:00+00:00,0,0.2
2010-03-03 07:00:00+00:00,2010-03-03 07:30:00+00:00,0,0.19
2010-03-03 07:30:00+00:00,2010-03-03 08:00:00+00:00,0,0.2
2010-03-03 08:00:00+00:00,2010-03-03 08:30:00+00:00,0,0.2
2010-03-03 08:30:00+00:00,2010-03-03 09:00:00+00:00,0,0.2
2010-03-03 09:00:00+00:00,2010-03-03 09:30:00+00:00,0,0.2
2010-03-03 09:30:00+00:00,2010-03-03 10:00:00+00:00,0,0.19
2010-03-03 10:00:00+00:00,2010-03-03 10:30:00+00:00,0,0.19
2010-03-03 10:30:00+00:00,2010-03-03 11:00:00+00:00,0,0.2
2010-03-03 11:00:00+00:00,2010-03-03 11:30:00+00:00,0,0.19
2010-03-03 11:30:00+00:00,2010-03-03 12:00:00+00:00,0,0.2
2010-03-03 12:00:00+00:00,2010-03-03 12:30:00+00:00,0,0.2
2010-03-03 12:30:00+00:00,2010-03-03 13:00:00+00:00,0,0.2
2010-03-03 13:00:00+00:00,2010-03-03 13:30:00+00:00,0,0.2
2010-03-03 13:30:00+00:00,2010-03-03 14:00:00+00:00,0.2,0.2
2010-03-03 14:00:00+00:00,2010-03-03 14:30:00+00:00,0.4,0.2
2010-03-03 14:30:00+00:00,2010-03-03 15:00:00+00:00,0,0.2
2010-03-03 15:00:00+00:00,2010-03-03 15:30:00+00:00,0.4,0.2
2010-03-03 15:30:00+00:00,2010-03-03 16:00:00+00:00,0.6,0.2
2010-03-03 16:00:00+00:00,2010-03-03 16:30:00+00:00,2.2,0.2
2010-03-03 16:30:00+00:00,2010-03-03 17:00:00+00:00,0.4,0.2
2010-03-03 17:00:00+00:00,2010-03-03 17:30:00+00:00,0.4,0.2
2010-03-03 17:30:00+00:00,2010-03-03 18:00:00+00:00,1.6,0.2
2010-03-03 18:00:00+00:00,2010-03-03 18:30:00+00:00,1.8,0.2
2010-03-03 18:30:00+00:00,2010-03-03 19:00:00+00:00,1.8,0.21
2010-03-03 19:00:00+00:00,2010-03-03 19:30:00+00:00,3,0.21
