Datai,Dataf,P30,Livello
2023-05-16 00:00:00+00:00,2023-05-16 00:30:00+00:00,0,0.19
2023-05-16 00:30:00+00:00,2023-05-16 01:00:00+00:00,0,0.18
2023-05-16 01:00:00+00:00,2023-05-16 01:30:00+00:00,0,0.19
2023-05-16 01:30:00+00:00,2023-05-16 02:00:00+00:00,0,0.19
2023-05-16 02:00:00+00:00,2023-05-16 02:30:00+00:00,1,0.19
2023-05-16 02:30:00+00:00,2023-05-16 03:00:00+00:00,4.4,0.19
2023-05-16 03:00:00+00:00,2023-05-16 03:30:00+00:00,2.4,0.19
2023-05-16 03:30:00+00:00,2023-05-16 04:00:00+00:00,1.6,0.19
2023-05-16 04:00:00+00:00,2023-05-16 04:30:00+00:00,4,0.18
2023-05-16 04:30:00+00:00,2023-05-16 05:00:00+00:00,4,0.19
2023-05-16 05:00:00+00:00,2023-05-16 05:30:00+00:00,2.6,0.19
2023-05-16 05:30:00+00:00,2023-05-16 06:00:00+00:00,3.4,0.22
2023-05-16 06:00:00+00:00,2023-05-16 06:30:00+00:00,4.2,0.35
2023-05-16 06:30:00+00:00,2023-05-16 07:00:00+00:00,3.8,0.85
2023-05-16 07:00:00+00:00,2023-05-16 07:30:00+00:00,3,1.16
2023-05-16 07:30:00+00:00,2023-05-16 08:00:00+00:00,3,1.2
2023-05-16 08:00:00+00:00,2023-05-16 08:30:00+00:00,0,1.24
2023-05-16 08:30:00+00:00,2023-05-16 09:00:00+00:00,0.2,1.37
2023-05-16 09:00:00+00:00,2023-05-16 09:30:00+00:00,1,1.37
2023-05-16 09:30:00+00:00,2023-05-16 10:00:00+00:00,3,1.29
2023-05-16 10:00:00+00:00,2023-05-16 10:30:00+00:00,4,1.18
2023-05-16 10:30:00+00:00,2023-05-16 11:00:00+00:00,4.8,1.02
2023-05-16 11:00:00+00:00,2023-05-16 11:30:00+00:00,4.4,0.95
2023-05-16 11:30:00+00:00,2023-05-16 12:00:00+00:00,4.2,1.01
2023-05-16 12:00:00+00:00,2023-05-16 12:30:00+00:00,2,1.32
2023-05-16 12:30:00+00:00,2023-05-16 13:00:00+00:00,1.8,1.54
2023-05-16 13:00:00+00:00,2023-05-16 13:30:00+00:00,2.6,1.68
2023-05-16 13:30:00+00:00,2023-05-16 14:00:00+00:00,3.2,1.59
2023-05-16 14:00:00+00:00,2023-05-16 14:30:00+00:00,1.2,1.54
2023-05-16 14:30:00+00:00,2023-05-16 15:00:00+00:00,2.2,1.47
2023-05-16 15:00:00+00:00,2023-05-16 15:30:00+00:00,3.2,1.43
2023-05-16 15:30:00+00:00,2023-05-16 16:00:00+00:00,1.8,1.54
2023-05-16 16:00:00+00:00,2023-05-16 16:30:00+00:00,0.2,1.59
2023-05-16 16:30:00+00:00,2023-05-16 17:00:00+00:00,0.8,1.6
2023-05-16 17:00:00+00:00,2023-05-16 17:30:00+00:00,0.6,1.67
