DATE,PREC,RUNOFF,DEFICIT_35,DEFICIT_70,DEFICIT_90
2001-01-01,0.0,0.0,16.47,33.27,41.46
2001-01-02,0.1,0.0,16.94,33.86,41.85
2001-01-03,1.3,0.0,16.24,33.25,41.08
2001-01-04,15.8,0.0,3.438,18.05,25.73
2001-01-05,0.0,0.0,7.934,18.95,26.28
2001-01-06,0.1,0.0,9.679,20.17,26.79
2001-01-07,0.2,0.0,10.81,21.42,27.38
2001-01-08,6.1,0.0,6.548,16.46,21.88
2001-01-09,0.3,0.0,8.626,17.48,22.36
2001-01-10,0.1,0.0,9.828,18.72,23.04
2001-01-11,0.1,0.0,10.37,19.51,23.34
2001-01-12,7.3,0.0,4.931,13.06,16.55
2001-01-13,5.0,0.0,3.478,9.215,12.23
2001-01-14,0.0,0.0,5.793,10.57,12.83
2001-01-15,0.1,0.0,6.774,11.68,13.25
2001-01-16,0.0,0.0,7.494,12.66,13.75
2001-01-17,1.7,0.0,6.685,11.85,12.65
2001-01-18,2.0,0.0,5.981,10.72,11.29
2001-01-19,0.0,0.0,7.05,11.62,11.95
2001-01-20,0.2,0.0,7.5,12.26,12.43
2001-01-21,0.5,0.0,7.67,12.62,12.71
2001-01-22,0.1,0.0,8.204,13.37,13.45
2001-01-23,0.0,0.0,8.513,13.96,14.06
2001-01-24,0.0,0.0,9.069,14.85,15.04
2001-01-25,7.8,0.0,3.38,8.094,8.397
2001-01-26,0.0,0.0,5.697,9.231,9.341
2001-01-27,0.7,0.0,6.237,9.855,9.693
2001-01-28,0.1,0.0,6.81,10.64,10.28
2001-01-29,18.7,0.0,-5.901,-6.966,-7.574
2001-01-30,24.0,0.0,-13.55,-26.56,-30.21
2001-01-31,0.0,0.0,-6.529,-19.38,-28.2
2001-02-01,0.0,0.0,-4.516,-15.92,-25.49
2001-02-02,0.0,0.0,-3.336,-13.54,-22.7
2001-02-03,0.0,0.0,-2.41,-11.51,-20.1
2001-02-04,0.0,0.0,-1.523,-9.593,-17.61
2001-02-05,0.0,0.0,-0.7307,-7.818,-15.29
2001-02-06,0.0,0.0,-0.0006828,-6.165,-13.11
2001-02-07,0.0,0.0,0.7679,-4.506,-10.94
2001-02-08,0.0,0.0,1.509,-2.882,-8.824
2001-02-09,3.5,0.0,-0.4522,-4.914,-10.47
2001-02-10,19.4,0.0,-10.76,-21.81,-28.07
2001-02-11,0.0,0.0,-5.112,-16.71,-25.51
2001-02-12,0.0,0.0,-3.271,-13.49,-22.5
2001-02-13,0.0,0.0,-2.128,-11.09,-19.59
2001-02-14,0.0,0.0,-1.279,-9.106,-17.01
2001-02-15,0.0,0.0,-0.4761,-7.281,-14.61
2001-02-16,0.0,0.0,0.4261,-5.374,-12.12
2001-02-17,0.0,0.0,1.069,-3.782,-10.0
2001-02-18,0.0,0.0,1.791,-2.178,-7.88
2001-02-19,0.0,0.0,2.571,-0.5053,-5.692
2001-02-20,0.0,0.0,3.177,0.9559,-3.756
2001-02-21,0.0,0.0,3.876,2.48,-1.755
2001-02-22,0.0,0.0,4.634,4.099,0.3485
2001-02-23,0.0,0.0,5.365,5.707,2.44
2001-02-24,6.5,0.0,0.7877,0.3739,-2.564
2001-02-25,0.6,0.0,2.328,1.152,-1.904
2001-02-26,0.2,0.0,3.299,2.454,-0.7285
2001-02-27,0.0,0.0,4.272,4.043,0.9406
2001-02-28,1.1,0.0,3.991,4.168,1.221
2001-03-01,0.4,0.0,4.561,5.06,2.3
2001-03-02,9.9,0.0,-1.952,-3.473,-6.162
2001-03-03,3.7,0.0,-1.423,-5.07,-8.435
2001-03-04,0.0,0.0,1.305,-2.076,-6.065
2001-03-05,0.1,0.0,2.516,0.1073,-4.03
2001-03-06,0.0,0.0,3.179,1.554,-2.476
2001-03-07,0.0,0.0,3.821,2.89,-0.8745
2001-03-08,6.7,0.0,-0.5435,-2.46,-5.998
2001-03-09,1.9,0.0,0.5931,-2.21,-5.931
2001-03-10,0.1,0.0,2.284,-0.01318,-3.892
2001-03-11,0.0,0.0,3.218,1.73,-2.085
2001-03-12,0.1,0.0,4.152,3.558,0.07455
2001-03-13,6.5,0.0,0.07106,-1.24,-4.435
2001-03-14,0.0,0.0,2.734,1.29,-1.891
2001-03-15,0.0,0.0,4.069,3.617,0.55
2001-03-16,0.0,0.0,5.038,5.589,2.823
2001-03-17,2.7,0.0,3.752,4.671,2.274
2001-03-18,0.1,0.0,5.154,6.46,4.354
2001-03-19,0.0,0.0,6.217,8.402,6.628
2001-03-20,0.0,0.0,7.081,10.2,8.817
2001-03-21,0.0,0.0,7.749,11.7,10.71
2001-03-22,0.0,0.0,8.872,13.94,13.55
2001-03-23,0.0,0.0,9.735,15.86,16.02
2001-03-24,0.0,0.0,10.57,17.72,18.43
2001-03-25,0.0,0.0,11.68,20.05,21.44
2001-03-26,0.0,0.0,12.4,21.76,23.66
2001-03-27,6.5,0.0,7.569,16.88,19.28
2001-03-28,3.6,0.0,6.896,15.01,17.73
2001-03-29,0.4,0.0,8.718,16.55,19.34
2001-03-30,30.4,0.0,-10.52,-12.18,-9.751
2001-03-31,5.7,0.0,-5.496,-12.13,-12.83
2001-04-01,0.0,0.0,-1.371,-6.932,-10.25
2001-04-02,0.0,0.0,0.7657,-3.204,-7.434
2001-04-03,0.0,0.0,2.427,-0.05974,-4.205
2001-04-04,0.0,0.0,3.657,2.492,-1.235
2001-04-05,3.5,0.0,1.942,1.086,-2.2
2001-04-06,0.0,0.0,4.009,3.794,0.9241
2001-04-07,2.8,0.0,3.056,3.337,0.8255
2001-04-08,0.2,0.0,4.548,5.329,3.079
2001-04-09,0.0,0.0,5.947,7.852,6.029
2001-04-10,0.5,0.0,6.757,9.818,8.529
2001-04-11,53.1,0.0,-19.54,-38.79,-42.66
2001-04-12,4.7,0.0,-12.0,-31.37,-43.24
2001-04-13,0.0,0.0,-8.529,-25.89,-37.76
2001-04-14,10.4,0.0,-12.3,-31.33,-43.2
2001-04-15,0.0,0.0,-8.458,-25.77,-37.64
2001-04-16,5.3,0.0,-9.531,-26.17,-38.04
2001-04-17,0.3,0.0,-6.725,-21.44,-33.14
2001-04-18,0.0,0.0,-4.736,-17.23,-27.93
2001-04-19,0.0,0.0,-3.267,-13.78,-23.4
2001-04-20,0.1,0.0,-2.054,-10.86,-19.47
2001-04-21,1.4,0.0,-1.841,-9.517,-17.27
2001-04-22,0.1,0.0,-0.3842,-6.794,-13.82
2001-04-23,0.0,0.0,0.9287,-4.005,-10.23
2001-04-24,0.0,0.0,2.468,-0.7473,-5.982
2001-04-25,0.0,0.0,3.821,2.291,-1.979
2001-04-26,0.0,0.0,4.971,4.961,1.547
2001-04-27,0.0,0.0,6.059,7.457,4.846
2001-04-28,0.0,0.0,7.343,10.25,8.509
2001-04-29,0.0,0.0,8.632,13.08,12.21
2001-04-30,0.0,0.0,9.813,15.73,15.67
2001-05-01,0.0,0.0,11.19,18.69,19.53
2001-05-02,1.4,0.0,11.19,19.96,21.61
2001-05-03,0.8,0.0,11.86,21.57,23.9
2001-05-04,9.6,0.0,5.413,14.26,17.19
2001-05-05,3.1,0.0,6.267,13.65,16.86
2001-05-06,4.6,0.0,5.188,11.76,14.94
2001-05-07,35.6,0.0,-10.55,-20.04,-17.84
2001-05-08,0.4,0.0,-3.597,-11.51,-14.3
2001-05-09,0.0,0.0,-0.3754,-5.811,-10.28
2001-05-10,0.0,0.0,1.694,-1.788,-6.339
2001-05-11,0.0,0.0,3.463,1.795,-2.167
2001-05-12,0.1,0.0,5.037,5.169,2.054
2001-05-13,0.1,0.0,6.283,8.002,5.693
2001-05-14,3.2,0.0,5.27,7.929,6.497
2001-05-15,0.0,0.0,7.041,10.51,9.627
2001-05-16,0.0,0.0,8.71,13.68,13.51
2001-05-17,0.0,0.0,10.04,16.49,17.01
2001-05-18,13.7,0.0,1.404,5.997,7.311
2001-05-19,0.0,0.0,5.478,9.303,10.64
2001-05-20,2.6,0.0,5.684,10.21,11.55
2001-05-21,23.6,0.0,-6.838,-10.86,-9.983
2001-05-22,0.5,0.0,-1.316,-5.776,-7.355
2001-05-23,0.6,0.0,1.209,-1.59,-4.289
2001-05-24,0.0,0.0,3.482,2.488,-0.2906
2001-05-25,0.0,0.0,5.41,6.294,4.03
2001-05-26,0.0,0.0,7.104,9.823,8.314
2001-05-27,0.0,0.0,8.94,13.64,13.1
2001-05-28,0.0,0.0,10.76,17.49,18.01
2001-05-29,0.0,0.0,12.59,21.39,23.01
2001-05-30,0.0,0.0,14.1,24.75,27.33
