data,Datai,Dataf,P15,Livello,WHC
25/03/2015 00:15,2015-03-25 00:00:00+00:00,2015-03-25 00:15:00+00:00,0,,0
25/03/2015 00:30,2015-03-25 00:15:00+00:00,2015-03-25 00:30:00+00:00,0,-0.09,
25/03/2015 00:45,2015-03-25 00:30:00+00:00,2015-03-25 00:45:00+00:00,0,,
25/03/2015 01:00,2015-03-25 00:45:00+00:00,2015-03-25 01:00:00+00:00,0,-0.09,
25/03/2015 01:15,2015-03-25 01:00:00+00:00,2015-03-25 01:15:00+00:00,0,,
25/03/2015 01:30,2015-03-25 01:15:00+00:00,2015-03-25 01:30:00+00:00,0,-0.09,
25/03/2015 01:45,2015-03-25 01:30:00+00:00,2015-03-25 01:45:00+00:00,0,,
25/03/2015 02:00,2015-03-25 01:45:00+00:00,2015-03-25 02:00:00+00:00,0,-0.11,
25/03/2015 02:15,2015-03-25 02:00:00+00:00,2015-03-25 02:15:00+00:00,0,,
25/03/2015 02:30,2015-03-25 02:15:00+00:00,2015-03-25 02:30:00+00:00,0,-0.1,
25/03/2015 02:45,2015-03-25 02:30:00+00:00,2015-03-25 02:45:00+00:00,0,,
25/03/2015 03:00,2015-03-25 02:45:00+00:00,2015-03-25 03:00:00+00:00,0,-0.09,
25/03/2015 03:15,2015-03-25 03:00:00+00:00,2015-03-25 03:15:00+00:00,0.2,,
25/03/2015 03:30,2015-03-25 03:15:00+00:00,2015-03-25 03:30:00+00:00,0.4,-0.09,
25/03/2015 03:45,2015-03-25 03:30:00+00:00,2015-03-25 03:45:00+00:00,0,,
25/03/2015 04:00,2015-03-25 03:45:00+00:00,2015-03-25 04:00:00+00:00,0.2,-0.09,
25/03/2015 04:15,2015-03-25 04:00:00+00:00,2015-03-25 04:15:00+00:00,0.2,,
25/03/2015 04:30,2015-03-25 04:15:00+00:00,2015-03-25 04:30:00+00:00,0,-0.09,
25/03/2015 04:45,2015-03-25 04:30:00+00:00,2015-03-25 04:45:00+00:00,0.4,,
25/03/2015 05:00,2015-03-25 04:45:00+00:00,2015-03-25 05:00:00+00:00,1,-0.09,
25/03/2015 05:15,2015-03-25 05:00:00+00:00,2015-03-25 05:15:00+00:00,0.4,,
25/03/2015 05:30,2015-03-25 05:15:00+00:00,2015-03-25 05:30:00+00:00,0,-0.09,
25/03/2015 05:45,2015-03-25 05:30:00+00:00,2015-03-25 05:45:00+00:00,0,,
25/03/2015 06:00,2015-03-25 05:45:00+00:00,2015-03-25 06:00:00+00:00,0,-0.09,
25/03/2015 06:15,2015-03-25 06:00:00+00:00,2015-03-25 06:15:00+00:00,0,,
25/03/2015 06:30,2015-03-25 06:15:00+00:00,2015-03-25 06:30:00+00:00,0.2,-0.09,
25/03/2015 06:45,2015-03-25 06:30:00+00:00,2015-03-25 06:45:00+00:00,0.4,,
25/03/2015 07:00,2015-03-25 06:45:00+00:00,2015-03-25 07:00:00+00:00,0,-0.09,
25/03/2015 07:15,2015-03-25 07:00:00+00:00,2015-03-25 07:15:00+00:00,0,,
25/03/2015 07:30,2015-03-25 07:15:00+00:00,2015-03-25 07:30:00+00:00,0.4,-0.08,
25/03/2015 07:45,2015-03-25 07:30:00+00:00,2015-03-25 07:45:00+00:00,0.6,,
25/03/2015 08:00,2015-03-25 07:45:00+00:00,2015-03-25 08:00:00+00:00,0.8,-0.08,
25/03/2015 08:15,2015-03-25 08:00:00+00:00,2015-03-25 08:15:00+00:00,1.2,,
25/03/2015 08:30,2015-03-25 08:15:00+00:00,2015-03-25 08:30:00+00:00,0.6,-0.08,
25/03/2015 08:45,2015-03-25 08:30:00+00:00,2015-03-25 08:45:00+00:00,1.2,,
25/03/2015 09:00,2015-03-25 08:45:00+00:00,2015-03-25 09:00:00+00:00,0.6,-0.07,
25/03/2015 09:15,2015-03-25 09:00:00+00:00,2015-03-25 09:15:00+00:00,1.2,,
