DATE,PREC,IRRIGATION,WATER_CONTENT,SURFACE_WC,AVAILABLE_WATER,READILY_AW,FRACTION_AW,RUNOFF,DRAINAGE,LATERAL_DRAINAGE,CAPILLARY_RISE,ET0,TRANSP_MAX,TRANSP,EVAP_MAX,EVAP,LAI,ROOT_DEPTH,BALANCE,VWC_15,VWC_30,VWC_40,VWC_60,DEFICIT_25,DEFICIT_35,DEFICIT_50,DEFICIT_70,DEFICIT_90,DEFICIT_100
2021-01-01,10.3,0.0,332.1,0.124,148.5,-9999.0,0.8574,0.0,0.0311,0.000217,0.0,0.437,0.128,0.0,0.207,0.207,0.576,0.0426,0.00203,0.3589,0.3302,0.328,0.3252,-1.392,1.613,6.4,14.28,21.96,24.7
2021-01-02,6.5,0.0,338.2,0.0342,154.7,-1.724,0.893,0.0,0.0323,0.000388,0.0,0.5,0.147,0.147,0.237,0.237,0.58,0.0463,7.68e-05,0.3775,0.3503,0.3352,0.3249,-4.944,-3.788,0.2474,8.158,15.84,18.52
2021-01-03,0.1,0.0,337.9,0.0,154.3,-0.9392,0.891,0.0,0.0332,0.000385,0.0,0.584,0.173,0.173,0.275,0.275,0.585,0.0508,3.73e-05,0.3689,0.3585,0.3466,0.3268,-1.872,-1.573,1.044,8.568,16.22,18.87
2021-01-04,0.1,0.0,337.5,0.0,153.9,-0.5748,0.8889,0.0,0.0337,0.000321,0.0,0.575,0.171,0.171,0.271,0.271,0.588,0.0539,0.00343,0.3621,0.3569,0.3496,0.3306,-0.157,0.2545,2.309,9.133,16.62,19.24
2021-01-05,4.6,0.0,341.7,0.0,158.1,-0.5271,0.913,0.0,0.0343,0.000355,0.0,0.496,0.148,0.148,0.233,0.233,0.59,0.0554,-0.000448,0.3704,0.3575,0.3502,0.3338,-3.176,-2.835,-0.9527,5.307,12.48,15.06
2021-01-06,0.0,0.0,341.4,0.0,157.8,-0.3825,0.9111,0.0,0.0353,0.000384,0.0,0.398,0.119,0.119,0.187,0.187,0.591,0.0562,0.000723,0.3661,0.3601,0.353,0.3363,-1.248,-1.164,0.3238,6.101,12.9,15.4
2021-01-07,0.0,0.0,341.0,0.0,157.4,-0.3591,0.9091,0.0,0.037,0.000351,0.0,0.403,0.12,0.12,0.19,0.19,0.591,0.0562,0.00406,0.3612,0.3582,0.3533,0.3387,0.02305,0.2788,1.651,6.964,13.36,15.74
2021-01-08,0.0,0.0,340.7,0.0,157.1,-0.3473,0.9073,0.0,0.0395,0.000331,0.0,0.344,0.103,0.103,0.162,0.162,0.591,0.0562,0.00242,0.3575,0.3558,0.3523,0.3404,0.9176,1.391,2.832,7.822,13.79,16.05
2021-01-09,0.0,0.0,340.5,0.0,156.9,-0.3399,0.9059,0.0,0.0427,0.000319,0.0,0.279,0.0834,0.0834,0.131,0.131,0.591,0.0562,0.00149,0.3547,0.3538,0.3512,0.3414,1.591,2.262,3.825,8.616,14.2,16.3
2021-01-10,1.7,0.0,341.9,0.0,158.3,-0.3713,0.9142,0.0,0.0465,0.000324,0.0,0.273,0.0814,0.0814,0.128,0.128,0.591,0.0562,0.00288,0.3568,0.3528,0.3502,0.342,0.544,1.313,2.986,7.652,12.9,14.85
