Dataf,P30,Livello
2024-10-19 00:30,0,0
2024-10-19 01:00,0,
2024-10-19 01:30,0,
2024-10-19 02:00,0,
2024-10-19 02:30,0,
2024-10-19 03:00,0,
2024-10-19 03:30,0,
2024-10-19 04:00,0,
2024-10-19 04:30,0,
2024-10-19 05:00,0,
2024-10-19 05:30,0.6,
2024-10-19 06:00,0.6,
2024-10-19 06:30,0.2,
2024-10-19 07:00,0,
2024-10-19 07:30,0.2,
2024-10-19 08:00,0,
2024-10-19 08:30,0,
2024-10-19 09:00,0.2,
2024-10-19 09:30,0.4,
2024-10-19 10:00,0.2,
2024-10-19 10:30,0.4,
2024-10-19 11:00,0.2,
2024-10-19 11:30,0.4,
2024-10-19 12:00,0.4,
2024-10-19 12:30,0.4,
2024-10-19 13:00,3.6,
2024-10-19 13:30,2.2,
2024-10-19 14:00,1.2,
2024-10-19 14:30,1.2,
2024-10-19 15:00,0.6,
2024-10-19 15:30,0.6,
2024-10-19 16:00,1.8,
2024-10-19 16:30,1,
2024-10-19 17:00,1,
2024-10-19 17:30,3,
2024-10-19 18:00,2.4,
2024-10-19 18:30,6.6,
2024-10-19 19:00,18.8,
2024-10-19 19:30,25,
2024-10-19 20:00,8.6,
2024-10-19 20:30,14.4,
2024-10-19 21:00,22.2,
2024-10-19 21:30,9,
2024-10-19 22:00,4.4,
2024-10-19 22:30,15.4,
2024-10-19 23:00,5.2,
2024-10-19 23:30,0,
2024-10-20 00:00,0.8,
